video_name,num_frames_video,num_frames_annotation,difference
28-30-1280x720-1,262,253,9
84-30-1920x1080,2583,296,2287
368,2929,2006,923
6-30-1920x1080,7985,7506,479
42-30-480x480,1394,151,1243
448,4157,2451,1706
71-30-1920x1080,8001,1594,6407
video61,116,72,44
8-30-1280x720,9113,7011,2102
74-25-1920x1080,5041,4475,566
91-30-1920x1080,10921,4381,6540
339,4632,4191,441
10-60-1280x720,2501,526,1975
47-30-654x480,4033,637,3396
33-30-1920x1080,10806,415,10391
400,2640,352,2288
video45_7,179,180,-1
139-14-720x480,10013,9578,435
113-60-1280x720,4022,1804,2218
video49,6121,1943,4178
15-24-1920x1080,3592,56,3536
385,2976,1516,1460
362,4912,4807,105
video72,128,121,7
11-24-1920x1080,5389,3263,2126
53-30-360x480,1052,172,880
111-25-1920x1080,771,747,24
357,1373,531,842
video2,2064,271,1793
350,2015,909,1106
370,1939,1006,933
360,3509,3184,325
77-30-1280x720,5672,1628,4044
104-17-720x480,2425,437,1988
439,2308,1647,661
56-30-1080x1920,4300,1041,3259
336,4344,2153,2191
424,4432,2617,1815
68-24-1920x1080,7189,4011,3178
2-30-640x360,19352,5026,14326
28-30-1280x720-3,276,264,12
13-30-1920x1080,7399,7400,-1
27-60-1280x720,2932,414,2518
90-30-1080x1920,7413,4467,2946
108-15-640x480,478,401,77
video79,4097,4020,77
383,2554,1101,1453
375,2957,1436,1521
93-24-640x360,2581,102,2479
109-30-1280x720,1045,0,1045
364,3318,2143,1175
207,3038,2107,931
4-30-1920x1080,8260,3554,4706
116,2517,1054,1463
378,3480,3480,0
63-30-1920x1080,2412,569,1843
3-25-1920x1080,6188,3946,2242
100-29-1080x1920,2639,2132,507
video4,1550,1383,167
114-30-1280x720,3662,526,3136
425,5070,2730,2340
96-30-1280x720,5603,336,5267
video63,274,265,9
76-30-640x280,1773,445,1328
105-30-1280x720,1501,1297,204
372,2042,590,1452
80-30-320x240,5673,2590,3083
41-24-1280x720,6160,1037,5123
381,1265,1049,216
399,5199,3451,1748
419,6963,4340,2623
video6,5324,4788,536
326,4717,2533,2184
32-60-1920x1080,4459,759,3700
337,2806,1480,1326
447,3993,1573,2420
60-30-1920x1080,4564,977,3587
395,5153,1990,3163
81-30-576x360,3603,1616,1987
25-25-600x480,5743,4565,1178
434,5232,4502,730
70-30-720x1280,2783,187,2596
video93,443,385,58
392,3550,2561,989
363,3240,1626,1614
131-30-1920x1080,8012,4820,3192
162,7934,4913,3021
137-30-1920x1080,8552,5892,2660
144,15605,14522,1083
140,4582,3634,948
127-30-1280x720,2213,360,1853
122-60-1920x1080-2,7172,4608,2564
24-30-1920x1080-2,4172,2386,1786
282,3614,3577,37
122-60-1920x1080-1,7862,5145,2717
24-30-1920x1080-1,1912,30,1882
140-30-632x360,6754,4111,2643
125-25-1280x720,6841,188,6653
125,4365,3020,1345
video73,5951,5776,175
132,5659,4187,1472
147,19694,10710,8984
157,2604,1699,905
117,5465,1520,3945
121-24-1920x1080,10628,7365,3263
160,837,802,35
127,8123,5668,2455
134,1789,428,1361
133,460,131,329
131,4777,3324,1453
148,18144,12491,5653
45-24-1280x720,6081,2062,4019
135-24-1920x1080,9423,7541,1882
135,3591,1325,2266
130,4001,2869,1132
6-30-1920x1080,7985,7005,980
124-30-720x1280,10494,346,10148
163,3937,2221,1716
28-30-1280x720-2,396,397,-1
156,4925,3845,1080
128,6286,5227,1059
118-30-640x480,2420,2114,306
121,4413,2594,1819
153,3677,2394,1283
154,3362,749,2613
122-60-1920x1080-3,9243,1573,7670
120-30-1280x720,15041,10271,4770
123,9776,6279,3497
118,587,452,135
123-25-1920x1080,27241,17129,10112
139,8165,5340,2825
122-60-1920x1080-4,7683,3942,3741
150,13015,8063,4952
129-24-1280x720,6153,6139,14
149,15658,3023,12635
126,6286,4753,1533
122,4127,2744,1383
161,1728,1113,615
138,5583,2669,2914
146,4850,4825,25
155,3113,1790,1323
120,3591,1762,1829
165,4567,2703,1864
158,3031,2310,721
136,4487,3969,518
128-24-1920x1080,3812,3408,404
119,4576,3526,1050
137,4786,2097,2689
164,7043,5087,1956
143,10102,9660,442
82-25-854x480,5402,4809,593
video34,10281,8782,1499
141,4405,1138,3267
159,3458,2231,1227
151,964,647,317
